CustomerID,Age,TotalSpend,AccountLength,CallsToService,EmailsToService,SMSsToService,PostsToSocialMedia,LastContactMethod
1,62,545.9965334318531,5,4,3,4,2,SMS
2,65,1034.3745319491545,8,0,5,3,1,Phone
3,18,284.5170073661491,13,8,8,4,3,SocialMedia
4,21,1102.8580857659917,14,3,4,4,4,SocialMedia
5,21,505.1685301260815,11,9,1,4,3,Phone
6,57,356.46790680996355,11,5,7,2,1,Phone
7,27,921.1181087341164,5,5,8,1,3,SocialMedia
8,37,128.15056466249098,2,1,1,3,1,SocialMedia
9,39,1260.5160409043083,12,7,2,4,3,Email
10,68,106.5736666695659,4,8,1,4,3,SMS
11,54,1048.943151514722,4,6,1,0,2,Email
12,41,478.0111624690308,10,4,7,0,0,Phone
13,24,1129.271630971633,3,7,5,2,3,SMS
14,42,1447.0639631644135,6,3,0,4,4,Email
15,42,448.2544009279412,3,5,4,3,0,SMS
16,30,906.6202681849717,4,3,1,3,4,Email
17,19,928.8587037805746,6,6,1,0,3,Phone
18,56,901.1526681072227,11,4,6,0,1,SocialMedia
19,57,412.3142856968656,12,7,6,1,3,SMS
20,41,1433.848616123779,8,3,0,4,2,Phone
21,64,725.9755300646783,13,0,2,4,1,Phone
22,42,1284.972141459579,13,5,3,0,4,SocialMedia
23,35,1079.270985444506,3,9,7,0,3,SocialMedia
24,55,516.4117311971871,14,3,9,0,3,SocialMedia
25,43,1239.3169475834682,8,7,2,1,1,SMS
26,31,655.1080371857785,2,5,4,1,3,SocialMedia
27,26,1333.5444759556262,7,5,9,1,0,SMS
28,27,913.7820216902022,11,8,0,4,4,SocialMedia
29,38,1334.429506596794,6,0,6,1,3,Email
30,69,1069.5442261088722,1,8,9,4,3,Email
31,34,1115.3559917474968,12,3,2,0,1,Phone
32,69,801.8541346973832,1,6,4,4,2,Email
33,23,1438.5170886125134,11,9,7,3,4,SocialMedia
34,33,1001.5862789214924,13,3,3,2,0,SMS
35,65,693.3970679814515,4,2,0,0,0,SMS
36,18,948.9504997790941,11,7,5,3,1,SocialMedia
37,36,126.87047763306694,2,0,4,2,0,SMS
38,53,522.204743344369,11,3,0,3,2,Phone
39,42,1024.242952489759,10,0,2,2,3,Email
40,67,506.1086500946217,13,3,3,2,4,SocialMedia
41,69,965.2216005983781,14,6,1,1,3,Email
42,47,700.2761813240726,10,1,7,3,1,Email
43,37,289.6636899114303,7,9,1,3,3,SocialMedia
44,37,517.595256338443,7,2,3,0,2,SocialMedia
45,32,897.9508749817708,8,9,4,4,0,Email
46,57,927.2218657474425,9,4,1,3,4,SocialMedia
47,50,904.0553483894104,14,9,7,3,2,Email
48,19,1014.4811477999871,9,1,4,0,1,Email
49,27,1012.9445780023644,8,3,0,0,4,Email
50,50,703.9858096075635,1,2,2,1,3,SocialMedia
51,49,1355.1652341914883,9,4,7,4,1,SocialMedia
52,28,614.5866180670552,7,9,4,4,3,Phone
53,41,710.2108953718775,9,7,0,1,2,Email
54,53,1348.692697021941,10,4,2,0,2,Email
55,29,1228.67158466452,9,9,6,0,1,Email
56,68,1085.4440169565128,4,4,9,0,0,Phone
57,46,240.31764223722155,7,1,2,3,1,Email
58,52,1387.275659242543,2,2,4,4,0,Phone
59,18,1099.937819368756,8,7,9,4,1,Phone
60,18,1498.385809195013,5,2,9,2,1,SocialMedia
61,54,309.22762652119127,10,3,5,2,4,Phone
